product_code,asset_url,asset_type_normalized,file_format_normalized,product_url,product_exists,asset_id
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284IN.dxf,cad drawing,DXF,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000802
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284IN.dwg,cad drawing,DWG,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000801
26284IN-AF,https://techcomm.kohler.com/techcomm/pdf/K-26284IN_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_003011
26284IN-AF,https://techcomm.kohler.com/techcomm/pdf/1430506-IN2.pdf,installation,PDF,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_002807
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/cad/Shower-Handshower-KOHLER-Citrus-K-12861IN.rfa,3d model,RFA,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_002598
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/cad/12861in_zzpln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_000062
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/cad/12861in_zzpln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_000061
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/cad/12861in_zzfrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_000060
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/cad/12861in_zzfrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_000059
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/cad/12861in_zzsde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_000064
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/cad/12861in_zzsde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_000063
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/pdf/K-12861IN-ZZ_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_002927
12861IN-ZZ-CP,https://techcomm.kohler.com/techcomm/pdf/1472373-IN2.pdf,installation,PDF,https://www.kohler.co.in/p/citrus-multi-function-handspray-w-hose-12861in-zz?skuId=12861IN-ZZ-CP,True,asset_002831
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359IN-A.obj,3d model,OBJ,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000257
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359IN-A.skp,3d model,SKP,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000258
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359IN-A.3ds,3d model,3DS,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000254
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/Shower-Handshower-KOHLER-Multiproduct_Line-K-16359IN.rfa,3d model,RFA,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_002602
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359in_apln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000262
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359in_apln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000261
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359in_afrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000260
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359in_afrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000259
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359in_asde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000264
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359in_asde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000263
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359IN-A.dxf,cad drawing,DXF,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000256
16359IN-A-CP,https://techcomm.kohler.com/techcomm/cad/16359IN-A.dwg,cad drawing,DWG,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_000255
16359IN-A-CP,https://techcomm.kohler.com/techcomm/pdf/K-16359IN-A_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/complementary-single-function-handshower-with-hose-16359in-a?skuId=16359IN-A-CP,True,asset_002949
24717IN-CP,https://techcomm.kohler.com/techcomm/cad/24717IN.obj,3d model,OBJ,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP,True,asset_000670
24717IN-CP,https://techcomm.kohler.com/techcomm/cad/24717IN.skp,3d model,SKP,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP,True,asset_000671
24717IN-CP,https://techcomm.kohler.com/techcomm/cad/24717IN.3ds,3d model,3DS,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP,True,asset_000667
24717IN-CP,https://techcomm.kohler.com/techcomm/cad/Shower-Handshower-KOHLER-Rainduet-K-24717IN.rfa,3d model,RFA,https://www.kohler.co.in/p/handshower-without-hose-24717in?skuId=24717IN-CP,True,asset_002606
